participant,session_info,session_type,session_number,X Disp_mean,X Disp_std,X Disp_min,X Disp_max,Y Disp_mean,Y Disp_std,Y Disp_min,Y Disp_max,X Abs_mean,X Abs_std,X Abs_min,X Abs_max,Y Abs_mean,Y Abs_std,Y Abs_min,Y Abs_max,"Session experience (1-Low, 5-High).Stress level_y","Session experience (1-Low, 5-High).Attention_y","Session experience (1-Low, 5-High).Robot movement predictability_y","Session experience (1-Low, 5-High).Excitement_y",What caused stress for you?_y,How mentally demanding was the task?_y,How hurried or rushed was the pace of the task?_y,How hard did you have to work to accomplish your level of performance?_y,"How insecure, discouraged, irritated, stressed and annoyed were you?_y","How successful were you in accomplishing what you needed to do? (1-Failure, 20-Perfect)_y"
e2,session8,session,8,-27.428260258550925,4.168884828159591,-41.577186584472656,-20.288143157958984,11.918921849717655,6.722143141274634,-9.392642974853516,21.56156539916992,2564.11307106457,260.6996640690432,1676.9511795043943,3026.7405366897583,1010.5466234534356,119.93767373345943,724.1954040527344,1298.1550788879397,1.0,5.0,5.0,1.0,Nothing caused stress,2,2,1,1,20.0
e20,baseline,baseline,0,2.6883420784603107,0.5391240496094072,1.2654590606689735,3.7784385681152335,2.5471374080769666,1.1462891313768693,0.3044891357421875,5.650062561035156,35.740585387002476,5.18283328216226,23.616886138916016,51.7137908935548,46.17023607676998,6.926016734518943,33.275375366210824,85.54740905761685,,,,,,,,,,
e20,session1,session,1,35.807724527734095,12.351948598340664,-8.544831275939941,57.30186939239502,-18.389210720940117,10.323064933117493,-34.60483551025396,9.948539733886662,4349.927837534429,638.1294911254836,2735.4158449172974,5976.754581928253,2183.377266009981,223.52317039382106,1673.3554458618164,2752.4789428710938,,,,,,,,,,
e20,session2,session,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
e20,session3,session,3,42.338342796309725,6.71823450687137,29.87721920013433,67.16800689697266,20.61776544259682,6.42195193537221,-2.467498779296875,30.97564697265625,3132.5702603392024,429.73990840760797,2129.620313644409,4213.774781227112,2291.231325899707,234.58603966633513,1795.8404159545896,2827.434463500977,,,,,,,,,,
e20,session4,session,4,11.874378306097563,6.9358549233491456,-4.060149192810115,31.24729156494135,-49.39134230673562,6.373776671699654,-56.667861938476506,-24.58690643310547,4807.0304460405805,894.2382446184322,2040.0366353988647,6905.071749687195,2817.0414929409903,495.6585618670593,1921.6667175292969,4281.515769958496,,,,,,,,,,
e20,session5,session,5,-11.000002378200387,8.547522469543937,-27.07729339599612,18.4320259094238,-6.0752278890569835,5.176694397591284,-20.341758728027344,7.600517272949162,3847.540970970896,829.7855450349646,1459.303057193756,5851.30425453186,1993.4049867286842,313.5761148537589,1451.7853546142578,3174.6513366699223,,,,,,,,,,
e20,session6,session,6,36.98892194356878,11.816838022517494,12.362251281738338,75.76741218566892,-28.714946363760337,10.014043733634281,-47.83306121826172,4.485931396484432,2908.92311601958,431.3432839823666,1625.5569934844975,3774.779305458069,2338.1014286025297,138.52425362138223,1815.524826049805,2614.0417098999023,,,,,,,,,,
e20,session7,session,7,2.4935207057697504,6.9113847821895575,-14.161005020141602,20.549454689025907,-73.05073327100426,10.6116417166152,-89.38453674316406,-43.93829345703131,4389.85044410538,601.9912569540055,2398.5517036914825,5471.236782073975,2171.103309647309,331.57149926489694,1450.596694946289,3057.362365722656,,,,,,,,,,
e20,session8,session,8,48.675290864880616,9.584391624083667,30.522980690002385,81.36066913604736,-20.840718616501558,6.57901783825169,-34.983673095703125,-4.960250854492188,5268.026024083213,712.0670203534885,3032.6079511642456,6837.493829727173,2586.5491960836753,230.17227253233872,2109.844665527344,3266.481246948242,,,,,,,,,,
