participant,experiment,target,task_type,n_features,n_samples,accuracy_mean,accuracy_std,r2_mean,r2_std
e17,mouth_only,excitement,regression,123,205,,,-0.045801764443452964,0.06477347645654896
e17,mouth_only,rushed_pace,regression,123,205,,,-0.045954233921478606,0.06498910086022079
e17,mouth_only,work_effort,regression,123,205,,,-0.045954210885364256,0.06498906828223545
e17,eyes_only,session_type,classification,372,205,0.6781756180733164,0.021959500208680763,,
e17,eyes_only,stress_level,regression,372,205,,,-0.05197234113292907,0.07349998969846937
e17,eyes_only,robot_predictability,regression,372,205,,,-0.025859631878712763,0.03657104212085123
e17,eyes_only,excitement,regression,372,205,,,-0.025859624498346,0.03657103168343646
e17,eyes_only,rushed_pace,regression,372,205,,,-0.05197235395502764,0.07350000783165506
e17,eyes_only,work_effort,regression,372,205,,,-0.05197235310589828,0.07350000663080479
e18,nose_cheeks,session_type,classification,18,297,0.2895622895622895,0.004761661826172042,,
e18,nose_cheeks,stress_level,regression,18,297,,,-0.779691888862191,0.35224434186023446
e18,nose_cheeks,attention,regression,18,297,,,-2.419805996433624,1.9735709869363678
e18,nose_cheeks,robot_predictability,regression,18,297,,,-0.5900673662030499,0.8150238677801538
e18,nose_cheeks,excitement,regression,18,297,,,-0.2343915857391202,0.16653226196461546
e18,nose_cheeks,mental_demand,regression,18,297,,,-0.8377516635849277,0.06230140959645018
e18,nose_cheeks,rushed_pace,regression,18,297,,,-5.204244000616968,1.7509483344280896
e18,nose_cheeks,work_effort,regression,18,297,,,-3.033155489328788,1.8536377029906124
e18,nose_cheeks,stress_annoyance,regression,18,297,,,-0.6328576008895209,0.23812767932168177
e18,nose_cheeks,success_level,regression,18,297,,,-0.479251389571945,0.6777638149187963
e18,all_expression,session_type,classification,597,297,0.3367003367003367,0.025196346038881757,,
e18,all_expression,stress_level,regression,597,297,,,-0.49132400411068716,0.28529674794591325
e18,all_expression,attention,regression,597,297,,,-2.378269910057416,2.040451610456827
e18,all_expression,robot_predictability,regression,597,297,,,-0.7938771214332162,1.0133434005137743
e18,all_expression,excitement,regression,597,297,,,-0.17543855120397703,0.12438259721543377
e18,all_expression,mental_demand,regression,597,297,,,-0.5208442720433453,0.151135745886253
e18,all_expression,rushed_pace,regression,597,297,,,-4.792658068455439,1.5725072559851283
e18,all_expression,work_effort,regression,597,297,,,-2.31500686989075,1.3238764611524012
e18,all_expression,stress_annoyance,regression,597,297,,,-0.5172368637929351,0.17583169375580232
e18,all_expression,success_level,regression,597,297,,,-0.4609492898343759,0.651880737250021
e18,mouth_only,session_type,classification,123,297,0.2962962962962963,0.017168415870682793,,
e18,mouth_only,stress_level,regression,123,297,,,-0.6262169409420324,0.403535642452159
e18,mouth_only,attention,regression,123,297,,,-2.4162389720861754,2.059326239493636
e18,mouth_only,robot_predictability,regression,123,297,,,-0.7475479810036824,1.033038296153094
e18,mouth_only,excitement,regression,123,297,,,-0.21296164135717208,0.1545677503534721
e18,mouth_only,mental_demand,regression,123,297,,,-0.6954979034822527,0.11186696443003659
e18,mouth_only,rushed_pace,regression,123,297,,,-4.6614795873989125,1.563039126600925
e18,mouth_only,work_effort,regression,123,297,,,-2.8317451459809413,1.6256330078640593
e18,mouth_only,stress_annoyance,regression,123,297,,,-0.6322522859197507,0.25864171057649515
e18,mouth_only,success_level,regression,123,297,,,-0.46764648307367,0.6613519987588643
e18,eyes_only,session_type,classification,372,297,0.31986531986531985,0.009523323652344057,,
e18,eyes_only,stress_level,regression,372,297,,,-0.4250130638627542,0.2811827880370733
e18,eyes_only,attention,regression,372,297,,,-2.5107963045522372,2.184138492276966
e18,eyes_only,robot_predictability,regression,372,297,,,-0.96287502695643,1.2033517792472945
e18,eyes_only,excitement,regression,372,297,,,-0.17022504220577575,0.1313963818157078
e18,eyes_only,mental_demand,regression,372,297,,,-0.5731305436078511,0.1151128698805023
e18,eyes_only,rushed_pace,regression,372,297,,,-4.882091198511437,1.6546075663258941
e18,eyes_only,work_effort,regression,372,297,,,-2.2777766575587015,1.175041275143922
e18,eyes_only,stress_annoyance,regression,372,297,,,-0.5101209347521717,0.24443635308954742
e18,eyes_only,success_level,regression,372,297,,,-0.4509111235042937,0.6376846262846617
e19,nose_cheeks,session_type,classification,18,873,0.24971363115693013,0.010622701598505962,,
e19,nose_cheeks,stress_level,regression,18,873,,,-0.18262411347517746,0.258269498092959
e19,nose_cheeks,attention,regression,18,873,,,-0.9102564102564105,1.2872969606216635
e19,nose_cheeks,robot_predictability,regression,18,873,,,-0.13750258458032696,0.10480758763390534
e19,nose_cheeks,mental_demand,regression,18,873,,,-0.1826241134751773,0.25826949809295885
e19,nose_cheeks,rushed_pace,regression,18,873,,,-0.7387219904555872,0.5497755938159862
e19,nose_cheeks,work_effort,regression,18,873,,,-1.117578260800564,1.01980192724389
